"","颱風名稱","侵臺路徑分類","近臺強度","近臺最大風速.m.s.","英文名稱","tart_time","end_time","average","better_than_average","level_2","level_1"
"1","山竹","---","強烈","60","(MANGKHUT)",2018-09-14 11:30:00,2018-09-15 20:30:00,"NaN","NaN","NaN","NaN"
"2","瑪莉亞","---","強烈","55","(MARIA)",2018-07-09 14:30:00,2018-07-11 14:30:00,"NaN","NaN","NaN","NaN"
"3","泰利","---","中度","48","(TALIM)",2017-09-12 14:30:00,2017-09-14 20:30:00,"302.805469277515","634.290239043825","0","0"
"4","谷超","---","輕度","18","(GUCHOL)",2017-09-06 10:30:00,2017-09-07 02:30:00,"263.776068376068","388.145454545455","0","0"
"5","天鴿","---","中度","33","(HATO)",2017-08-20 23:30:00,2017-08-22 17:30:00,"2048.85685884692","4144.65685936152","3.53200883002207","1.32450331125828"
"6","海棠","7","輕度","20","(HAITANG)",2017-07-29 17:30:00,2017-07-31 08:30:00,"4388.55694241982","9363.1796969697","17.6706827309237","10.0401606425703"
"7","尼莎","2","中度","40","(NESAT)",2017-07-28 08:30:00,2017-07-30 14:30:00,"3068.91385822583","7065.4750483559","5.03018108651911","3.420523138833"
"8","艾利","---","輕度","18","(AERE)",2016-10-05 11:30:00,2016-10-06 14:30:00,"1810.88120860927","3367.77380952381","0.851063829787234","0.425531914893617"
"9","梅姬","3","中度","45","(MEGI)",2016-09-25 23:30:00,2016-09-28 17:30:00,"4143.58897307636","8849.27718485703","19.7938144329897","12.9896907216495"
"10","馬勒卡","---","中度","45","(MALAKAS)",2016-09-15 23:30:00,2016-09-18 08:30:00,"1924.64740570214","4173.08659079664","1.39211136890951","0.464037122969838"
"11","莫蘭蒂","7","強烈","60","(MERANTI)",2016-09-12 23:30:00,2016-09-15 11:30:00,"2891.04187192118","5979.00064903846","8.1799591002045","3.68098159509202"
"12","尼伯特","4","強烈","58","(NEPARTAK)",2016-07-06 14:30:00,2016-07-09 14:30:00,"2637.86434023991","6613.72162740899","10.4166666666667","6.45833333333333"
"13","杜鵑","2","強烈","51","(DUJUAN)",2015-09-27 08:30:00,2015-09-29 17:30:00,"2886.80416887102","6428.8846573681","11.8483412322275","7.34597156398104"
"14","天鵝","---","強烈","51","(GONI)",2015-08-20 17:30:00,2015-08-23 20:30:00,"1047.07019308126","2201.8454075775","0.286532951289398","0"
"15","蘇迪勒","3","中度","48","(SOUDELOR)",2015-08-06 11:30:00,2015-08-09 08:30:00,"3338.09551499133","7107.14634589197","14.6788990825688","9.40366972477064"
"16","蓮花","---","輕度","30","(LINFA)",2015-07-06 08:30:00,2015-07-09 05:30:00,"1493.04327158336","3502.08","1.47058823529412","0.490196078431373"
"17","昌鴻","---","中度","48","(CHAN-HOM)",2015-07-09 05:30:00,2015-07-11 11:30:00,"1524.09790454016","3013.05875251509","0.248756218905473","0"
"18","紅霞","---","強烈","51","(NOUL)",2015-05-10 08:30:00,2015-05-11 20:30:00,"536.543733092876","914.079331941545","0","0"
"19","鳳凰","特殊","輕度","25","(FUNG-WONG)",2014-09-19 08:30:00,2014-09-22 08:30:00,"2168.77205128205","5124.74718232044","7.76942355889724","3.50877192982456"
"20","麥德姆","3","中度","38","(MATMO)",2014-07-21 17:30:00,2014-07-23 23:30:00,"2881.49444109974","6454.17918367347","15.3266331658291","9.79899497487437"
"21","哈吉貝","---","輕度","20","(HAGIBIS)",2014-06-14 23:30:00,2014-06-15 17:30:00,"1055.82956705385","1975.00179948586","0.508905852417303","0"
"22","菲特","1","中度","38","(FITOW)",2013-10-04 23:30:00,2013-10-07 08:30:00,"743.237813158511","1438.59409937888","0","0"
"23","天兔","5","強烈","55","(USAGI)",2013-09-19 23:30:00,2013-09-22 14:30:00,"1782.1660685155","3553.11462708183","2.20125786163522","0.628930817610063"
"24","康芮","6","輕度","25","(KONG-REY)",2013-08-27 11:30:00,2013-08-29 20:30:00,"3367.82659821133","7232.53135554541","20.6703910614525","13.4078212290503"
"25","潭美","1","輕度","30","(TRAMI )",2013-08-20 11:30:00,2013-08-22 08:30:00,"2969.20803910918","5901.09310344828","5.55555555555556","3.05555555555556"
"26","西馬隆","---","輕度","18","(CIMARON)",2013-07-17 10:30:00,2013-07-18 11:30:00,"630.107692307692","1223.48169014085","0","0"
"27","蘇力","2","強烈","51","(SOULIK )",2013-07-11 08:30:00,2013-07-13 23:30:00,"4101.68229613734","7892.16465403261","25.4658385093168","18.3229813664596"
"28","杰拉華","---","強烈","55","(JELAWAT)",2012-09-27 02:30:00,2012-09-28 20:30:00,"472.562162162162","849.670243902439","0","0"
"29","天秤","特殊","中度","45","(TEMBIN)",2012-08-21 14:30:00,2012-08-25 14:30:00,"1680.90865857658","3958.66433216608","5.80645161290323","3.87096774193548"
"30","天秤","特殊","中度","35","(TEMBIN)",2012-08-26 11:30:00,2012-08-28 23:30:00,"1259.27990155865","2913.30566967954","2.04081632653061","1.70068027210884"
"31","啟德","---","輕度","20","(KAI-TAK)",2012-08-14 14:30:00,2012-08-15 17:30:00,"309.58389261745","516.301960784314","0","0"
"32","海葵","---","中度","35","(HAIKUI)",2012-08-06 11:30:00,2012-08-07 17:30:00,"932.453081943437","1845.0162962963","0.735294117647059","0"
"33","蘇拉","2","中度","38","(SAOLA)",2012-07-30 20:30:00,2012-08-03 14:30:00,"2592.07245693563","6108.72452830189","31.4814814814815","25"
"34","杜蘇芮","---","輕度","23","(DOKSURI)",2012-06-28 05:30:00,2012-06-29 08:30:00,"453.128888888889","821.1","0","0"
"35","泰利","9","輕度","25","(TALIM)",2012-06-19 05:30:00,2012-06-21 05:30:00,"1285.87613394557","2751.49794721408","1.23456790123457","0"
"36","南瑪都","4","強烈","53","(NANMADOL )",2011-08-27 05:30:00,2011-08-31 08:30:00,"1242.58012928891","2722.46363109049","6.06060606060606","3.46320346320346"
"37","梅花","---","中度","43","(MUIFA)",2011-08-04 17:30:00,2011-08-06 11:30:00,"206.812041884817","400.993488372093","0","0"
"38","米雷","---","輕度","28","(MEARI)",2011-06-23 23:30:00,2011-06-25 14:30:00,"1185.18261012492","2464.8267938238","2.57510729613734","0.858369098712446"
"39","桑達","---","強烈","55","(SONGDA)",2011-05-27 02:30:00,2011-05-28 14:30:00,"648.066889632107","1227.75305466238","1.55440414507772","0"
"40","艾利","---","輕度","23","(AERE)",2011-05-09 05:30:00,2011-05-10 17:30:00,"216.589473684211","414.698305084746","0","0"
"41","梅姬","9","中度","48","(MEGI)",2010-10-21 02:30:00,2010-10-23 23:30:00,"1288.79044061595","2828.81825011047","5.22088353413655","3.21285140562249"
"42","凡那比","4","中度","45","(FANAPI )",2010-09-17 23:30:00,2010-09-20 14:30:00,"1956.38495443248","4355.37933014354","14.4578313253012","9.63855421686747"
"43","莫蘭蒂","---","輕度","23","(MERANTI)",2010-09-09 10:00:00,2010-09-10 11:30:00,"880.232895277207","1603.98992805755","0","0"
"44","南修","---","輕度","18","(NAMTHEUN)",2010-08-30 22:30:00,2010-08-31 20:30:00,"712.536465916611","1302.51785714286","0.956937799043062","0.956937799043062"
"45","萊羅克","9","輕度","23","(LIONROCK)",2010-08-31 20:30:00,2010-09-02 14:30:00,"1150.87925655493","2270.44657415438","0.429184549356223","0.429184549356223"
"46","芭瑪","特殊","中度","43","(PARMA)",2009-10-03 05:30:00,2009-10-06 17:30:00,"1201.56876061121","2579.1934493347","5.83333333333333","3.75"
"47","莫拉克","3","中度","40","(MORAKOT)",2009-08-05 20:30:00,2009-08-10 05:30:00,"2295.65395475002","4954.58190222222","34.7457627118644","25"
"48","莫拉菲","---","輕度","28","(MOLAVE )",2009-07-16 22:00:00,2009-07-18 08:30:00,"694.97266767524","1358.35773195876","0.671140939597315","0"
"49","蓮花","9","輕度","28","(LINFA )",2009-06-19 20:30:00,2009-06-22 08:30:00,"890.061267366994","1956.45523429711","0.900900900900901","0.45045045045045"
"50","薔蜜","2","強烈","53","(JANGMI)",2008-09-26 23:30:00,2008-09-29 23:30:00,"1633.6152084617","3656.94527211919","15.8798283261803","9.87124463519313"
"51","哈格比","---","中度","45","(HAGUPIT)",2008-09-21 14:30:00,2008-09-23 08:30:00,"563.068838675775","1067.27129251701","0","0"
"52","辛樂克","2","強烈","51","(SINLAKU )",2008-09-11 08:30:00,2008-09-16 14:30:00,"1899.42023267577","4038.03161277365","22.6890756302521","15.546218487395"
"53","如麗","---","中度","40","(NURI )",2008-08-19 11:30:00,2008-08-21 08:30:00,"258.0525","440.476119402985","1.01010101010101","1.01010101010101"
"54","鳳凰","3","中度","43","(FUNG-WONG)",2008-07-26 11:30:00,2008-07-29 11:30:00,"1616.09406638472","3589.86674216686","12.3404255319149","6.80851063829787"
"55","卡玫基","2","中度","33","(KALMAEGI)",2008-07-16 14:30:00,2008-07-18 23:30:00,"2322.10399032648","5387.96705643111","36.6379310344828","30.1724137931034"
"56","米塔","---","中度","35","(MITAG)",2007-11-26 05:30:00,2007-11-27 11:30:00,"1213.23455284553","1889.01745647969","1.31004366812227","0.873362445414847"
"57","柯羅莎","2","強烈","51","(KROSA )",2007-10-04 17:30:00,2007-10-07 23:30:00,"1679.78027734977","3680.99421052632","14.8471615720524","10.0436681222707"
"58","韋帕","1","中度","48","(WIPHA )",2007-09-17 05:30:00,2007-09-19 08:30:00,"1216.00556770395","2353.10766871166","1.80995475113122","0.904977375565611"
"59","聖帕","3","強烈","53","(SEPAT )",2007-08-16 08:30:00,2007-08-19 14:30:00,"1406.75302962298","3167.08998028909","13.215859030837","8.81057268722467"
"60","梧提","3","輕度","18","(WUTIP )",2007-08-08 11:30:00,2007-08-09 11:30:00,"801.952576489533","1695.51082949309","4.63917525773196","3.60824742268041"
"61","帕布","4","輕度","28","(PABUK )",2007-08-06 23:30:00,2007-08-08 14:30:00,"1214.91912708601","2521.58064516129","5.33333333333333","3.11111111111111"
"62","珊珊","---","中度","48","(SHANSHAN)",2006-09-14 14:30:00,2006-09-16 14:30:00,"730.152971199417","1624.15879180151","0.917431192660551","0"
"63","寶發","4","輕度","23","(BOPHA)",2006-08-07 20:30:00,2006-08-09 14:30:00,"1102.84305391578","2391.75817361894","0.452488687782805","0.452488687782805"
"64","桑美","---","中度","48","(SAOMAI )",2006-08-09 02:30:00,2006-08-10 23:30:00,"1064.49397590361","2271.63414634146","0.454545454545455","0.454545454545455"
"65","凱米","3","中度","38","(KAEMI)",2006-07-23 14:30:00,2006-07-26 02:30:00,"1227.60681114551","2643.56403568977","3.53982300884956","1.32743362831858"
"66","碧利斯","2","輕度","25","(BILIS)",2006-07-12 02:30:00,2006-07-15 02:30:00,"1298.70283018868","2776.54748908297","6.22222222222222","3.11111111111111"
"67","艾維尼","---","中度","43","(EWINIAR)",2006-07-07 23:30:00,2006-07-09 05:30:00,"837.158278628738","1823.41104294479","2.5","0"
"68","珍珠","9","中度","45","(CHANCHU)",2006-05-16 17:30:00,2006-05-18 17:30:00,"985.839195979899","2208.7796437659","4.01785714285714","1.33928571428571"
"69","龍王","3","強烈","51","(LONGWANG)",2005-09-30 20:30:00,2005-10-03 08:30:00,"1450.3050892267","3120.24476534296","6.48148148148148","4.62962962962963"
"70","丹瑞","---","輕度","25","(DAMREY)",2005-09-21 10:30:00,2005-09-23 08:30:00,"1381.40239923225","2710.0125","4.12844036697248","1.37614678899083"
"71","卡努","---","中度","43","(KHANUN)",2005-09-09 17:30:00,2005-09-11 14:30:00,"472.151857835218","860.30404040404","0","0"
"72","泰利","3","強烈","53","(TALIM)",2005-08-30 08:30:00,2005-09-01 23:30:00,"1888.775","4143.81099656357","20.4651162790698","11.6279069767442"
"73","珊瑚","---","輕度","25","(SANVU)",2005-08-11 16:00:00,2005-08-13 20:30:00,"1173.39618768328","2389.02570781427","5.96330275229358","2.75229357798165"
"74","馬莎","1","中度","40","(MATSA)",2005-08-03 08:30:00,2005-08-06 08:30:00,"1590.15031152648","3262.18096252129","5.99078341013825","2.76497695852535"
"75","海棠","3","強烈","55","(HAITANG)",2005-07-16 14:30:00,2005-07-20 02:30:00,"1927.58211695584","3966.80623272179","23.6363636363636","16.8181818181818"
"76","南瑪都","9","中度","38","(NANMADOL)",2004-12-03 02:30:00,2004-12-04 14:30:00,"1610.19402985075","3188.78871978514","10","5"
"77","納坦","6","中度","43","(NOCK-TEN)",2004-10-23 20:30:00,2004-10-26 02:30:00,"903.200092592593","1948.72444641275","4.71204188481675","3.66492146596859"
"78","米雷","---","中度","40","(MEARI)",2004-09-26 08:30:00,2004-09-27 14:30:00,"210.462944162437","387.37641509434","0","0"
"79","海馬","6","輕度","18","(HAIMA)",2004-09-11 23:30:00,2004-09-13 08:30:00,"680.804738489048","1325.58881118881","0.584795321637427","0.584795321637427"
"80","艾利","1","中度","38","(AERE)",2004-08-23 02:30:00,2004-08-26 11:30:00,"1627.70748898678","3423.57291293443","8.7962962962963","4.62962962962963"
"81","蘭寧","---","中度","40","(RANANIM)",2004-08-10 23:30:00,2004-08-13 02:30:00,"957.169063350175","2070.28596685083","1.97044334975369","0.985221674876847"
"82","康柏斯","---","輕度","20","(KOMPASU)",2004-07-14 09:30:00,2004-07-15 11:30:00,"250.307462686567","424.235294117647","0","0"
"83","敏督利","6","中度","45","(MINDULLE)",2004-06-28 17:30:00,2004-07-03 11:30:00,"1723.54114906832","3690.09828943796","22.7272727272727","16.3636363636364"
"84","康森","---","中度","33","(CONSON)",2004-06-07 17:30:00,2004-06-09 23:30:00,"484.884977486697","1061.48798076923","1.05263157894737","0.526315789473684"
"85","米勒","8","輕度","25","(MELOR)",2003-11-02 05:30:00,2003-11-03 23:30:00,"734.946065428824","1298.74782608696","3.125","3.125"
"86","杜鵑","5","中度","43","(DUJUAN)",2003-08-31 12:30:00,2003-09-02 17:30:00,"1180.01603869654","2466.53645906228","3.39805825242718","1.45631067961165"
"87","科羅旺","---","中度","33","(KROVANH)",2003-08-22 08:30:00,2003-08-23 14:30:00,"212.05","359.798601398601","0","0"
"88","梵高","---","輕度","18","(VAMCO)",2003-08-19 12:30:00,2003-08-20 11:30:00,"840.555555555556","1634.89795918367","1.5","0"
"89","莫拉克","4","輕度","23","(MORAKOT)",2003-08-02 17:30:00,2003-08-04 23:30:00,"1151.08148148148","2555.99589041096","10.5769230769231","7.21153846153846"
"90","尹布都","---","中度","48","(IMBUDO)",2003-07-21 20:30:00,2003-07-23 14:30:00,"348.992908827786","646.637323943662","0","0"
"91","蘇迪勒","---","中度","38","(SOUDELOR)",2003-06-16 15:30:00,2003-06-18 17:30:00,"625.129040024075","1329.21220779221","0.938967136150235","0"
"92","南卡","---","輕度","23","(NANGKA)",2003-06-01 20:30:00,2003-06-03 02:30:00,"80.9209677419355","116.145652173913","0","0"
"93","柯吉拉","---","中度","43","(KUJIRA)",2003-04-21 05:30:00,2003-04-24 20:30:00,"244.83827370812","483.986413902054","0","0"
"94","辛樂克","1","中度","40","(SINLAKU)",2002-09-04 05:15:00,2002-09-08 05:50:00,"410.118340943683","873.765427927928","0","0"
"95","娜克莉","9","輕度","18","(NAKRI)",2002-07-09 05:50:00,2002-07-10 23:05:00,"960.536602870813","2154.48688293371","4.36893203883495","2.9126213592233"
"96","雷馬遜","---","中度","45","(RAMMASUN)",2002-07-02 14:45:00,2002-07-04 17:25:00,"868.118313404657","1741.16580310881","0.581395348837209","0"
"97","海燕","---","中度","35","(HAIYAN)",2001-10-15 08:15:00,2001-10-16 23:15:00,"322.389447852761","585.985074626866","0","0"
"98","利奇馬","4","中度","35","(LEKIMA)",2001-09-23 20:30:00,2001-09-28 09:10:00,"855.668766708252","1856.29170530654","3.1413612565445","0.523560209424084"
"99","納莉","特殊","中度","40","(NARI)",2001-09-08 23:50:00,2001-09-10 09:00:00,"81.585","99.6975","0","0"
"100","納莉","特殊","中度","40","(NARI)",2001-09-13 15:00:00,2001-09-19 23:05:00,"1822.67506245248","4242.8001305483","36.7875647668394","31.6062176165803"
"101","桃芝","3","中度","38","(TORAJI)",2001-07-28 05:25:00,2001-07-31 14:35:00,"1840.78843766167","4166.99292168675","32.9842931937173","25.130890052356"
"102","玉兔","---","輕度","30","(YUTU)",2001-07-23 20:10:00,2001-07-24 17:20:00,"357.333333333333","637.133031674208","0","0"
"103","潭美","4","輕度","20","(TRAMI)",2001-07-10 09:40:00,2001-07-11 21:00:00,"942.362844036697","1841.69889298893","5.40540540540541","3.6036036036036"
"104","尤特","5","中度","38","(UTOR)",2001-07-03 14:45:00,2001-07-05 23:10:00,"700.284947839046","1415.3488372093","0.625","0"
"105","奇比","7","中度","35","(CHEBI)",2001-06-22 03:00:00,2001-06-24 08:20:00,"748.345085324232","1555.27787114846","0","0"
"106","西馬隆","8","輕度","23","(CIMARON)",2001-05-11 11:15:00,2001-05-13 20:05:00,"499.03793622142","991.811290322581","0","0"
"107","貝碧佳","---","輕度","28","(BEBINCA)",2000-11-06 10:15:00,2000-11-07 08:55:00,"218.676811594203","339.087804878049","0","0"
"108","象神","6","中度","38","(XANGSANE)",2000-10-30 20:15:00,2000-11-01 20:05:00,"1705.8869170096","3208.78489847716","23.4285714285714","13.7142857142857"
"109","雅吉","---","中度","33","(YAGI)",2000-10-23 20:20:00,2000-10-26 08:50:00,"144.411746031746","229.805860805861","0","0"
"110","寶發","特殊","輕度","23","(BOPHA)",2000-09-08 15:15:00,2000-09-10 15:00:00,"412.340506329114","738.3","0","0"
"111","巴比侖","6","中度","33","(PRAPIROON)",2000-08-27 20:45:00,2000-08-30 14:20:00,"623.620990873533","1361.19206195547","0.574712643678161","0"
"112","碧利斯","3","強烈","53","(BILIS)",2000-08-21 08:25:00,2000-08-23 20:05:00,"1364.75652627915","2907.72958435208","10.8108108108108","3.24324324324324"
"113","啟德","6","中度","35","(KAI-TAK)",2000-07-06 11:43:00,2000-07-10 03:00:00,"838.977752331098","2050.44424778761","3.2258064516129","2.1505376344086"
