"","Tm","Mean"
"1","POR",24.3846153846154
"2","TOR",24.5714285714286
"3","PHI",25
"4","BOS",25.2666666666667
"5","PHO",25.3529411764706
"6","DET",25.4666666666667
"7","CHO",25.5
"8","MIN",25.5
"9","ORL",25.5
"10","DEN",25.5333333333333
"11","CHI",25.5384615384615
"12","OKC",25.6666666666667
"13","WAS",25.7142857142857
"14","MIL",25.9333333333333
"15","LAL",26
"16","UTA",26.2
"17","HOU",26.2307692307692
"18","TOT",26.377358490566
"19","SAC",26.3846153846154
"20","BRK",26.6428571428571
"21","MIA",26.7142857142857
"22","NYK",26.8571428571429
"23","ATL",27
"24","IND",27
"25","NOP",27
"26","DAL",27.0625
"27","GSW",27.6
"28","MEM",27.9333333333333
"29","SAS",28.75
"30","LAC",29.5333333333333
"31","CLE",29.9285714285714
