"","Tm","X3P","X3PA","X2P","X2PA","X3P_average","X2P_average"
"1","ATL",591,1779,2250,4480,0.33220910623946,0.502232142857143
"2","BOS",985,2742,2183,4236,0.359226841721371,0.515344664778092
"3","BRK",716,2136,1925,3811,0.335205992509363,0.50511676725269
"4","CHI",542,1601,2115,4454,0.338538413491568,0.47485406376291
"5","CHO",806,2282,2063,4271,0.353198948290973,0.483025052680871
"6","CLE",890,2372,2041,3838,0.375210792580101,0.531787389265242
"7","DAL",712,1998,1674,3414,0.356356356356356,0.490333919156415
"8","DEN",868,2361,2250,4336,0.367640830156713,0.518911439114391
"9","DET",631,1915,2638,5367,0.329503916449086,0.491522265697783
"10","GSW",964,2508,2525,4528,0.384370015948963,0.557641342756184
"11","HOU",1095,3019,1936,3466,0.362702881748924,0.558568955568378
"12","IND",704,1877,2499,5011,0.375066595631327,0.498702853721812
"13","LAC",841,2245,2401,4574,0.374610244988864,0.524923480542195
"14","LAL",570,1681,2178,4407,0.339083878643664,0.494213750850919
"15","MEM",754,2107,2159,4574,0.357854769814903,0.472015741145606
"16","MIA",799,2168,2349,4732,0.368542435424354,0.496407438715131
"17","MIL",711,1919,2411,4665,0.370505471599792,0.516827438370847
"18","MIN",599,1712,2607,5150,0.349883177570093,0.50621359223301
"19","NOP",475,1360,1831,3621,0.349264705882353,0.505661419497376
"20","NYK",626,1790,2427,4964,0.349720670391061,0.488920225624496
"21","OKC",546,1682,2154,4260,0.32461355529132,0.505633802816901
"22","ORL",571,1787,2106,4367,0.31952993844432,0.482253263109686
"23","PHI",671,1984,1866,3821,0.33820564516129,0.48835383407485
"24","PHO",569,1718,2554,5188,0.331199068684517,0.492289899768697
"25","POR",852,2266,2036,4115,0.375992939099735,0.494775212636695
"26","SAC",463,1227,1694,3346,0.377343113284434,0.506276150627615
"27","SAS",753,1927,2469,4937,0.390762843798651,0.50010127607859
"28","TOR",564,1577,2256,4455,0.357641090678503,0.506397306397306
"29","TOT",2392,6711,5949,12045,0.356429742214275,0.493897882938979
"30","UTA",791,2128,2242,4386,0.371710526315789,0.511171910624715
"31","WAS",697,1846,2525,4872,0.377573131094258,0.518267651888342
